episode,mean_V
0.000000000000000000e+00,5.022500000000000055e-03
1.000000000000000000e+00,1.366634070203705297e-03
2.000000000000000000e+00,3.147615696677420489e-03
3.000000000000000000e+00,3.201842206260958282e-03
4.000000000000000000e+00,4.256623335796242552e-03
5.000000000000000000e+00,2.592122596133816445e-03
6.000000000000000000e+00,1.578752385731827662e-03
7.000000000000000000e+00,8.425881916472851901e-04
8.000000000000000000e+00,7.419106242567188305e-04
9.000000000000000000e+00,-2.819866896109810787e-04
1.000000000000000000e+01,-7.530145623940460303e-04
1.100000000000000000e+01,-1.788024114080994417e-04
1.200000000000000000e+01,-3.224893120273546600e-04
1.300000000000000000e+01,-5.031560585763664595e-04
1.400000000000000000e+01,-4.838053651782296357e-04
1.500000000000000000e+01,-6.144073477552075254e-04
1.600000000000000000e+01,-3.475301010925390451e-04
1.700000000000000000e+01,-9.626143809331994634e-04
1.800000000000000000e+01,-2.259943825140407325e-03
1.900000000000000000e+01,-2.718710375760196012e-03
2.000000000000000000e+01,-3.840352852634334666e-03
2.100000000000000000e+01,-4.989884029816232802e-03
2.200000000000000000e+01,-5.460362830960112206e-03
2.300000000000000000e+01,-6.365042905420083968e-03
2.400000000000000000e+01,-7.043372262512960155e-03
2.500000000000000000e+01,-7.478654816489483173e-03
2.600000000000000000e+01,-7.934546392148581623e-03
2.700000000000000000e+01,-7.008114732409204649e-03
2.800000000000000000e+01,-6.340237492615717618e-03
2.900000000000000000e+01,-6.912768487068444295e-03
3.000000000000000000e+01,-6.623956869108891046e-03
3.100000000000000000e+01,-6.985908033386331768e-03
3.200000000000000000e+01,-7.797939611836044761e-03
3.300000000000000000e+01,-7.673357952908623977e-03
3.400000000000000000e+01,-8.173656029550275051e-03
3.500000000000000000e+01,-8.901893368291328990e-03
3.600000000000000000e+01,-9.348151104879378476e-03
3.700000000000000000e+01,-9.602177371447201057e-03
3.800000000000000000e+01,-1.040423719862945684e-02
3.900000000000000000e+01,-1.049829721114692652e-02
4.000000000000000000e+01,-1.054567230329534443e-02
4.100000000000000000e+01,-1.094025284364386064e-02
4.200000000000000000e+01,-1.124256188982878692e-02
4.300000000000000000e+01,-1.165144349496682538e-02
4.400000000000000000e+01,-1.168573258397859367e-02
